Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2027,New Mexico,29120643.279284716,652178.8312244266,174283724.80678892,1732.71463740923
2028,New Mexico,29525526.594938636,590214.117138952,175049662.82770133,1765.9178795814096
2029,New Mexico,29930409.910592437,528249.4030534923,175815600.8486135,1799.121121753582
2030,New Mexico,30335293.226246357,466284.6889680177,176581538.86952567,1832.3243639257635
2031,New Mexico,30740176.541900277,404319.974882558,177347476.89043808,1865.5276060979395
2032,New Mexico,31145059.857554078,342355.2607970834,178113414.91135025,1898.7308482701155
2033,New Mexico,31549943.173208,280390.54671162367,178879352.93226242,1931.9340904422934
2034,New Mexico,31954826.48886192,218425.83262614906,179645290.95317483,1965.137332614473
2035,New Mexico,32359709.80451584,156461.11854068935,180411228.974087,1998.340574786651
2036,New Mexico,32764593.12016964,94496.40445521474,181177166.9949994,2031.543816958827
2037,New Mexico,33169476.43582356,32531.69036975503,181943105.01591158,2064.747059131003
2038,New Mexico,33574359.75147748,-29433.02371571958,182709043.03682375,2097.9503013031845
2039,New Mexico,33979243.0671314,-91397.73780117929,183474981.05773616,2131.1535434753623
2040,New Mexico,34384126.3827852,-153362.4518866539,184240919.07864833,2164.3567856475365
2020,New York,433905447.79512024,20788712.90218216,4195310600.0909424,2210.0903069691108
2021,New York,443774355.96302414,20916797.325541764,4287833273.9809265,2257.7174465347325
2022,New York,453643264.13092804,21044881.748901337,4380355947.870911,2305.3445861003543
2023,New York,463512172.29883194,21172966.17226094,4472878621.760895,2352.9717256659765
2024,New York,473381080.46673584,21301050.595620543,4565401295.650879,2400.5988652315987
2025,New York,483249988.63463974,21429135.018980145,4657923969.540863,2448.2260047972204
2026,New York,493118896.80254364,21557219.44233975,4750446643.430847,2495.853144362842
2027,New York,502987804.97044754,21685303.86569935,4842969317.320831,2543.4802839284644
2028,New York,512856713.13835144,21813388.289058954,4935491991.210815,2591.107423494086
2029,New York,522725621.30625534,21941472.712418556,5028014665.1008,2638.734563059708
2030,New York,532594529.47415924,22069557.13577816,5120537338.990753,2686.3617026253296
2031,New York,542463437.642067,22197641.55913776,5213060012.880737,2733.988842190971
2032,New York,552332345.8099709,22325725.982497364,5305582686.770721,2781.6159817565926
2033,New York,562201253.9778748,22453810.405856937,5398105360.660706,2829.2431213222144
2034,New York,572070162.1457787,22581894.82921654,5490628034.55069,2876.8702608878366
2035,New York,581939070.3136826,22709979.252576143,5583150708.440674,2924.497400453459
2036,New York,591807978.4815865,22838063.675935745,5675673382.330658,2972.12454001908
2037,New York,601676886.6494904,22966148.099295348,5768196056.220642,3019.7516795847023
2038,New York,611545794.8173943,23094232.52265495,5860718730.110626,3067.378819150324
2039,New York,621414702.9852982,23222316.946014553,5953241404.00061,3115.005958715946
2040,New York,631283611.153202,23350401.369374156,6045764077.8905945,3162.633098281568
2020,North Carolina,116047306.41006184,11137644.556334317,1165790873.617218,1167.5229432707492
2021,North Carolina,119008315.6538868,11301125.420669794,1192749166.5403824,1192.520461166394
2022,North Carolina,121969324.89771175,11464606.285005331,1219707459.4635544,1217.5179790620386
2023,North Carolina,124930334.14153671,11628087.149340808,1246665752.3867264,1242.515496957687
2024,North Carolina,127891343.38536072,11791568.013676345,1273624045.3098984,1267.5130148533171
2025,North Carolina,130852352.62918568,11955048.878011823,1300582338.2330704,1292.5105327489619
2026,North Carolina,133813361.87301064,12118529.74234736,1327540631.1562347,1317.5080506446066
2027,North Carolina,136774371.1168356,12282010.606682837,1354498924.0794067,1342.505568540255
2028,North Carolina,139735380.36066055,12445491.471018374,1381457217.0025787,1367.5030864358996
2029,North Carolina,142696389.6044855,12608972.335353851,1408415509.9257507,1392.5006043315443
2030,North Carolina,145657398.84831047,12772453.199689388,1435373802.848915,1417.4981222271854
2031,North Carolina,148618408.09213448,12935934.064024866,1462332095.772087,1442.4956401228192
2032,North Carolina,151579417.33595943,13099414.928360343,1489290388.695259,1467.4931580184675
2033,North Carolina,154540426.5797844,13262895.79269588,1516248681.618431,1492.4906759141086
2034,North Carolina,157501435.82360935,13426376.657031357,1543206974.5415955,1517.4881938097533
2035,North Carolina,160462445.0674343,13589857.521366894,1570165267.4647675,1542.4857117054016
2036,North Carolina,163423454.31125927,13753338.385702372,1597123560.3879395,1567.4832296010463
2037,North Carolina,166384463.55508423,13916819.250037909,1624081853.3111115,1592.480747496691
2038,North Carolina,169345472.79890823,14080300.114373386,1651040146.2342758,1617.4782653923285
2039,North Carolina,172306482.0427332,14243780.978708923,1677998439.1574478,1642.4757832879695
